SaleCondition,SalePrice,SaleType,MSZoning,BsmtQual,Foundation,Electrical,RoofStyle,Neighborhood,GrLivArea,firstFlrSF,YearBuilt,GarageType,OverallQual,OverallCond,TotRmsAbvGrd,GarageCars,GarageArea
Partial,160000,New,RL,Ex,PConc,SBrkr,Hip,Edwards,5642,4692,2008,Attchd,10,5,12,2,1418
Partial,184750,New,RL,Ex,PConc,SBrkr,Hip,Edwards,4676,3138,2007,BuiltIn,10,5,11,3,884
Abnorml,745000,WD,RL,Ex,PConc,SBrkr,Hip,NoRidge,4476,2411,1996,Attchd,10,5,10,3,813
Normal,755000,WD,RL,Ex,PConc,SBrkr,Gable,NoRidge,4316,2444,1994,Attchd,10,6,10,3,832
Normal,625000,WD,RL,Ex,PConc,SBrkr,Hip,NoRidge,3627,1831,1995,Attchd,10,5,10,3,807
Normal,475000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,3608,1518,1892,Detchd,10,9,12,3,840
Normal,295000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,3493,1675,1880,Attchd,7,9,10,3,870
Normal,381000,WD,RL,TA,CBlock,SBrkr,Gable,Crawfor,3447,1968,1935,BuiltIn,8,9,11,3,1014
Abnorml,200000,WD,RH,TA,CBlock,FuseA,Hip,SWISU,3395,1440,1914,NoGarage,6,7,14,0,0
Normal,538000,WD,RL,Gd,PConc,SBrkr,Hip,StoneBr,3279,1690,2003,BuiltIn,8,5,12,3,841
Normal,410000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,3238,2053,1995,Attchd,8,5,9,3,666
Normal,430000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,3228,3228,1992,Attchd,8,5,10,2,546
Normal,320000,WD,RL,Gd,PConc,SBrkr,Hip,SawyerW,3222,1699,1990,Attchd,7,5,11,3,594
Alloca,359100,WD,RL,Gd,PConc,SBrkr,Gable,Crawfor,3194,1940,1934,Basment,8,6,10,2,380
Partial,485000,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,3140,1966,2008,BuiltIn,9,5,11,3,820
Abnorml,235000,WD,RL,TA,PConc,SBrkr,Gable,NAmes,3112,1360,1918,Detchd,8,4,8,2,795
Normal,200500,WD,RL,TA,CBlock,SBrkr,Gable,ClearCr,3086,1636,1946,NoGarage,5,6,12,0,0
Normal,197000,WD,RL,TA,BrkTil,SBrkr,Gable,SWISU,3082,1687,1920,Basment,7,3,12,2,672
Normal,242000,WD,RL,Gd,CBlock,SBrkr,Mansard,NAmes,2978,1898,1967,BuiltIn,7,7,11,2,564
Partial,438780,New,RL,Ex,PConc,SBrkr,Hip,StoneBr,2945,1426,2006,BuiltIn,10,5,10,3,641
Abnorml,287000,COD,RL,Gd,CBlock,SBrkr,Hip,Timber,2898,2898,1976,Attchd,8,6,10,2,665
Normal,272000,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,2872,1542,1977,Attchd,6,7,11,2,619
Normal,285000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2872,2129,1992,Attchd,8,5,9,2,541
Partial,556581,New,RL,Ex,PConc,SBrkr,Hip,StoneBr,2868,1992,2005,BuiltIn,9,5,11,3,716
Partial,424870,New,RL,Ex,PConc,SBrkr,Hip,CollgCr,2828,1466,2006,BuiltIn,8,5,11,3,1052
Partial,582933,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2822,1734,2008,BuiltIn,9,5,12,3,1020
Normal,302000,WD,RL,Ex,PConc,SBrkr,Gable,NoRidge,2810,1453,1990,Attchd,8,5,9,2,750
Normal,403000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2794,1490,1995,Attchd,8,5,9,3,810
Normal,256000,WD,RM,Gd,BrkTil,SBrkr,Gable,OldTown,2792,1584,1920,Detchd,6,7,8,2,520
Normal,250000,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,2784,1392,1978,Attchd,7,5,12,2,564
Normal,325000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,2775,1521,1893,Detchd,10,9,9,2,880
Normal,301000,WD,RL,TA,CBlock,SBrkr,Gable,SawyerW,2730,1553,1986,Attchd,7,5,8,2,576
Partial,437154,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2728,1848,2005,Attchd,9,5,10,3,706
Normal,315000,WD,RL,Gd,CBlock,SBrkr,Hip,Crawfor,2727,1549,1932,Detchd,8,8,10,2,440
Normal,299800,WD,RL,TA,CBlock,SBrkr,Hip,NWAmes,2715,1175,1976,BuiltIn,8,9,11,2,831
Partial,446261,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,2713,1476,2008,Attchd,9,5,11,3,858
Normal,345000,WD,RL,Gd,CBlock,SBrkr,Gable,NAmes,2704,2000,1972,Attchd,8,7,9,2,538
Partial,383970,New,RL,Ex,PConc,SBrkr,Gable,CollgCr,2696,1282,2007,BuiltIn,7,5,10,3,792
Normal,412500,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,2668,1572,2003,BuiltIn,9,5,10,3,726
Normal,250000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,2654,1512,1968,Attchd,6,7,9,2,619
Normal,260000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2646,1372,1993,Attchd,7,5,9,3,656
Normal,380000,WD,RL,Gd,PConc,SBrkr,Hip,NridgHt,2643,2069,2006,BuiltIn,9,5,9,3,694
Normal,265979,WD,RM,TA,Stone,SBrkr,Mansard,OldTown,2640,1320,1880,Detchd,7,7,8,4,864
Normal,200000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,2634,1338,1969,Detchd,5,5,12,4,968
Normal,466500,WD,RL,Ex,PConc,SBrkr,Hip,NoRidge,2633,2633,2001,Attchd,10,5,8,3,804
Normal,315000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2630,1470,1998,Attchd,8,5,8,3,696
Normal,239000,WD,RL,Gd,BrkTil,FuseA,Hip,Crawfor,2624,1370,1918,Detchd,6,6,10,3,864
Normal,325000,WD,RL,Ex,PConc,SBrkr,Gable,NoRidge,2622,1500,1994,Attchd,8,5,9,2,712
Normal,190000,WD,RL,Gd,CBlock,SBrkr,Shed,Sawyer,2620,1361,1977,BuiltIn,5,5,12,2,600
Normal,240000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,2614,1548,1974,Attchd,6,7,9,2,624
Normal,336000,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,2612,1276,1998,Attchd,8,5,8,3,676
Partial,303477,New,FV,Gd,PConc,SBrkr,Gable,Somerst,2610,1184,2007,BuiltIn,8,5,11,2,550
Normal,189000,WD,RL,TA,BrkTil,SBrkr,Gable,SWISU,2601,990,1921,BuiltIn,5,6,8,2,621
Normal,333168,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,2599,1422,1999,BuiltIn,9,5,10,3,779
Partial,342643,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,2596,1249,2006,Attchd,9,5,9,3,840
Partial,361919,New,RL,Ex,PConc,SBrkr,Hip,StoneBr,2576,1264,2006,BuiltIn,8,5,10,3,666
Partial,276000,New,RL,Ex,PConc,SBrkr,Gable,CollgCr,2574,1482,2007,BuiltIn,8,5,10,3,868
